step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
5050,0.0101,-406758.21875,11.171690940856934,-406747.04705905914,178.47144802150345,443.9984669685364
5100,0.010199999999999999,-406757.21875,10.27841567993164,-406746.94033432007,164.20108106066317,448.8304190635681
5150,0.0103,-406756.53125,9.94767951965332,-406746.58357048035,158.9174617992252,453.60723423957825
5200,0.0104,-406757.40625,10.959676742553711,-406746.44657325745,175.08445126580983,458.2092890739441
5250,0.010499999999999999,-406757.84375,11.132925033569336,-406746.71082496643,177.85214986475063,462.6640200614929
5300,0.0106,-406759.96875,13.005350112915039,-406746.9633998871,207.76475817012977,467.04748916625977
5350,0.0107,-406758.78125,11.742558479309082,-406747.0386915207,187.59124526217175,471.29930448532104
5400,0.010799999999999999,-406756.75,10.163175582885742,-406746.5868244171,162.36008249573666,474.99911284446716
5450,0.0109,-406755.375,8.778861999511719,-406746.5961380005,140.24521635340074,479.7611367702484
5500,0.011,-406757.75,10.695511817932129,-406747.05448818207,170.86432945405403,484.66949129104614
5550,0.011099999999999999,-406759.09375,12.210655212402344,-406746.8830947876,195.0692449858986,489.785049200058
5600,0.0112,-406758.53125,12.086867332458496,-406746.44438266754,193.09169276949294,494.2247681617737
5650,0.0113,-406758.0,11.363265991210938,-406746.6367340088,181.5319226463814,499.14492654800415
5700,0.011399999999999999,-406758.125,11.165842056274414,-406746.9591579437,178.37801016090748,503.87229323387146
5750,0.0115,-406758.625,11.563665390014648,-406747.06133461,184.7333691486594,508.29596185684204
5800,0.0116,-406756.875,10.20736312866211,-406746.66763687134,163.06599311580075,512.5833215713501
5850,0.0117,-406756.71875,10.13686466217041,-406746.58188533783,161.93975685804193,516.8574039936066
5900,0.0118,-406757.28125,10.588171005249023,-406746.69307899475,169.14952456258524,521.2259066104889
5950,0.011899999999999999,-406757.875,10.966411590576172,-406746.9085884094,175.19204268461442,525.5876739025116
6000,0.012,-406755.875,9.370450973510742,-406746.5045490265,149.6960453623764,529.7142667770386
6050,0.0121,-406756.0,9.637133598327637,-406746.3628664017,153.9563882652741,533.9850389957428
6100,0.012199999999999999,-406757.0625,10.511126518249512,-406746.55137348175,167.91871346785746,538.1762890815735
6150,0.0123,-406758.46875,11.588393211364746,-406746.88035678864,185.12840425177248,542.6690905094147
6200,0.0124,-406758.25,11.545693397521973,-406746.7043066025,184.4462606401104,547.7488162517548
6250,0.012499999999999999,-406758.0625,11.633987426757812,-406746.42851257324,185.85678688298592,552.4457232952118
6300,0.0126,-406757.09375,10.411832809448242,-406746.68191719055,166.33246371542484,556.9728405475616
6350,0.0127,-406757.84375,10.757044792175293,-406747.0867052078,171.847339015667,562.0829982757568
