#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
33.2%	16600	33.19999999999461	716.9017944335938	276.98393549621704	1.31e+03	2.183572769165039	0:04
33.4%	16700	33.399999999994854	645.757080078125	295.2844614531867	1.31e+03	2.197788715362549	0:04
33.6%	16800	33.5999999999951	658.662841796875	304.7765334028259	1.31e+03	2.2101988792419434	0:04
33.8%	16900	33.79999999999534	659.6528930664062	309.30239187068247	1.31e+03	2.224184989929199	0:04
34.0%	17000	33.99999999999559	802.3031616210938	287.4051001150523	1.31e+03	2.2364749908447266	0:04
34.2%	17100	34.19999999999583	723.1805419921875	327.37848330116594	1.31e+03	2.2497880458831787	0:04
34.4%	17200	34.399999999996076	713.9677734375	321.4658770731703	1.31e+03	2.2636940479278564	0:04
34.6%	17300	34.59999999999632	706.3577270507812	315.97003078942936	1.31e+03	2.276068925857544	0:04
34.8%	17400	34.799999999996565	689.48779296875	293.0112805182343	1.31e+03	2.289942979812622	0:04
35.0%	17500	34.99999999999681	715.5882568359375	293.25017044431405	1.31e+03	2.3037219047546387	0:04
35.2%	17600	35.199999999997054	733.8600463867188	306.5891227902676	1.3e+03	2.317661762237549	0:04
35.4%	17700	35.3999999999973	742.1133422851562	285.61139007670766	1.3e+03	2.3317549228668213	0:04
35.6%	17800	35.59999999999754	684.6734008789062	302.8864261332815	1.3e+03	2.3444390296936035	0:04
35.8%	17900	35.79999999999779	700.8543701171875	307.5967698806039	1.3e+03	2.3584749698638916	0:04
36.0%	18000	35.99999999999803	689.0697021484375	327.2257590711712	1.3e+03	2.3711841106414795	0:04
36.2%	18100	36.199999999998276	648.4852294921875	309.55972120847497	1.3e+03	2.3840768337249756	0:04
36.4%	18200	36.39999999999852	682.029296875	283.85278792477055	1.3e+03	2.39673113822937	0:04
36.6%	18300	36.599999999998765	644.0626220703125	312.43571450676643	1.3e+03	2.4108388423919678	0:04
36.8%	18400	36.79999999999901	715.8067626953125	299.4957022671217	1.3e+03	2.423352003097534	0:04
37.0%	18500	36.999999999999254	707.6146240234375	296.0358519729058	1.31e+03	2.435908079147339	0:04
37.2%	18600	37.1999999999995	726.3759765625	263.8584481415729	1.3e+03	2.4499659538269043	0:04
37.4%	18700	37.39999999999974	654.1181640625	326.21618831201744	1.3e+03	2.463730812072754	0:04
37.6%	18800	37.59999999999999	671.916015625	297.8466556799485	1.3e+03	2.477895736694336	0:04
37.8%	18900	37.80000000000023	700.1663818359375	284.1656996876935	1.3e+03	2.4905340671539307	0:04
38.0%	19000	38.000000000000476	701.998291015625	309.2635022878478	1.3e+03	2.503213882446289	0:04
38.2%	19100	38.20000000000072	620.819580078125	317.9552776095074	1.3e+03	2.516348123550415	0:04
38.4%	19200	38.400000000000965	646.45068359375	304.1481212300876	1.3e+03	2.5302398204803467	0:04
38.6%	19300	38.60000000000121	600.7103271484375	323.29881822985897	1.3e+03	2.542742967605591	0:04
38.8%	19400	38.800000000001454	677.8663940429688	295.3552866206452	1.31e+03	2.555154800415039	0:04
39.0%	19500	39.0000000000017	651.4520263671875	305.8793924174359	1.31e+03	2.567966938018799	0:04
39.2%	19600	39.20000000000194	666.4678955078125	278.5921494398439	1.31e+03	2.5816149711608887	0:04
39.4%	19700	39.40000000000219	663.8656005859375	265.2683627665567	1.3e+03	2.5955419540405273	0:04
39.6%	19800	39.60000000000243	649.3836669921875	268.64632018225217	1.3e+03	2.6097819805145264	0:04
39.8%	19900	39.800000000002676	618.430908203125	271.6273006251616	1.3e+03	2.6237008571624756	0:03
40.0%	20000	40.00000000000292	600.3768920898438	298.96096036504343	1.3e+03	2.637784957885742	0:03
40.2%	20100	40.200000000003165	721.8509521484375	287.8148934231051	1.3e+03	2.6526267528533936	0:03
40.4%	20200	40.40000000000341	737.4130859375	305.7513259122248	1.3e+03	2.668306827545166	0:03
40.6%	20300	40.600000000003654	739.5213012695312	325.3050983770532	1.3e+03	2.6822659969329834	0:03
40.8%	20400	40.8000000000039	730.14306640625	328.1967647807025	1.3e+03	2.6958587169647217	0:03
41.0%	20500	41.00000000000414	677.0693969726562	324.93785817915347	1.3e+03	2.7082009315490723	0:03
41.2%	20600	41.20000000000439	703.489501953125	322.5129901894544	1.3e+03	2.7208468914031982	0:03
41.4%	20700	41.40000000000463	697.5052490234375	313.26099313899476	1.3e+03	2.7347638607025146	0:03
41.6%	20800	41.600000000004876	648.2457275390625	308.2807298391419	1.3e+03	2.747291088104248	0:03
41.8%	20900	41.80000000000512	671.1201782226562	283.93202393202876	1.3e+03	2.7599589824676514	0:03
42.0%	21000	42.000000000005365	649.2125854492188	289.3811323838077	1.3e+03	2.7740628719329834	0:03
42.2%	21100	42.20000000000561	660.9815063476562	272.22533236364205	1.3e+03	2.7870030403137207	0:03
42.4%	21200	42.40000000000585	633.3265380859375	273.5552202969311	1.3e+03	2.8012447357177734	0:03
42.6%	21300	42.6000000000061	690.3594360351562	266.7141233175582	1.3e+03	2.8132739067077637	0:03
42.8%	21400	42.80000000000634	682.9898681640625	289.0520459772402	1.3e+03	2.8259057998657227	0:03
43.0%	21500	43.00000000000659	735.0677490234375	299.41930274785676	1.3e+03	2.8386118412017822	0:03
